# مثال فایل سرورها برای GitHub
# فرمت: [کد کشور] کانفیگ سرور
# کد کشور باید 2 حرف بزرگ باشد (ISO 3166-1 alpha-2)

# اروپا 🇪🇺
[DE] vless://your-uuid@de1.example.com:443?encryption=none&security=tls&sni=de1.example.com&type=ws&path=/ws#Germany-1
[DE] vless://your-uuid@de2.example.com:443?encryption=none&security=tls&sni=de2.example.com&type=ws#Germany-2
[FR] vless://your-uuid@fr1.example.com:443?encryption=none&security=tls&sni=fr1.example.com&type=ws#France-1
[GB] ss://YWVzLTI1Ni1nY206cGFzc3dvcmQ=@uk1.example.com:443#UK-1
[NL] trojan://password@nl1.example.com:443?security=tls&sni=nl1.example.com&type=tcp#Netherlands-1
[SE] vless://your-uuid@se1.example.com:443?encryption=none&security=tls#Sweden-1
[FI] vless://your-uuid@fi1.example.com:443?encryption=none&security=tls#Finland-1
[IT] vless://your-uuid@it1.example.com:443?encryption=none&security=tls#Italy-1
[ES] vless://your-uuid@es1.example.com:443?encryption=none&security=tls#Spain-1
[CH] vless://your-uuid@ch1.example.com:443?encryption=none&security=tls#Switzerland-1
[PL] vless://your-uuid@pl1.example.com:443?encryption=none&security=tls#Poland-1
[NO] vless://your-uuid@no1.example.com:443?encryption=none&security=tls#Norway-1

# آمریکا 🌎
[US] vmess://base64config#USA-1
[US] vless://your-uuid@us2.example.com:443?encryption=none&security=tls&type=ws#USA-2
[CA] vless://your-uuid@ca1.example.com:443?encryption=none&security=tls#Canada-1
[BR] vless://your-uuid@br1.example.com:443?encryption=none&security=tls#Brazil-1
[MX] vless://your-uuid@mx1.example.com:443?encryption=none&security=tls#Mexico-1
[AR] vless://your-uuid@ar1.example.com:443?encryption=none&security=tls#Argentina-1

# آسیا 🌏
[JP] vless://your-uuid@jp1.example.com:443?encryption=none&security=tls&type=ws&path=/ws#Japan-1
[SG] vless://your-uuid@sg1.example.com:443?encryption=none&security=tls#Singapore-1
[HK] vless://your-uuid@hk1.example.com:443?encryption=none&security=tls#Hong-Kong-1
[KR] vless://your-uuid@kr1.example.com:443?encryption=none&security=tls#South-Korea-1
[TW] vless://your-uuid@tw1.example.com:443?encryption=none&security=tls#Taiwan-1
[IN] vless://your-uuid@in1.example.com:443?encryption=none&security=tls#India-1
[TH] vless://your-uuid@th1.example.com:443?encryption=none&security=tls#Thailand-1
[MY] vless://your-uuid@my1.example.com:443?encryption=none&security=tls#Malaysia-1
[ID] vless://your-uuid@id1.example.com:443?encryption=none&security=tls#Indonesia-1
[VN] vless://your-uuid@vn1.example.com:443?encryption=none&security=tls#Vietnam-1

# خاورمیانه 🕌
[TR] vless://your-uuid@tr1.example.com:443?encryption=none&security=tls#Turkey-1
[AE] vless://your-uuid@ae1.example.com:443?encryption=none&security=tls#UAE-1
[SA] vless://your-uuid@sa1.example.com:443?encryption=none&security=tls#Saudi-Arabia-1
[IL] vless://your-uuid@il1.example.com:443?encryption=none&security=tls#Israel-1
[IR] vless://your-uuid@ir1.example.com:443?encryption=none&security=tls#Iran-1

# اقیانوسیه 🏝️
[AU] vless://your-uuid@au1.example.com:443?encryption=none&security=tls#Australia-1
[NZ] vless://your-uuid@nz1.example.com:443?encryption=none&security=tls#New-Zealand-1

# آفریقا 🌍
[ZA] vless://your-uuid@za1.example.com:443?encryption=none&security=tls#South-Africa-1
[EG] vless://your-uuid@eg1.example.com:443?encryption=none&security=tls#Egypt-1
[KE] vless://your-uuid@ke1.example.com:443?encryption=none&security=tls#Kenya-1

# سرورهای بدون کد کشور (نمایش با 🌐)
vless://your-uuid@server.example.com:443?encryption=none&security=tls#Unknown-Location
